operacion_cliente,operacion_cantidad_facturas,operacion_gasto_operacional,operacion_gasto_administrativo,operacion_monto,operacion_interes,operacion_mora,operacion_fecha_curse,operacion_fecha_vencimiento,operacion_fecha_pago
0,3,30000,0,716480232,0.01296,0.0,2021-03-15 11:50:34,2021-05-14 11:50:34,2021-05-14 11:50:34
1,6,20000,0,328555295,0.015061,0.0,2021-09-28 23:54:15,2021-11-27 23:54:15,2021-11-27 23:54:15
2,3,30000,0,114614554,0.018795,0.0,2022-10-22 17:33:18,2022-11-21 17:33:18,2022-11-21 17:33:18
3,3,10000,0,886430110,0.024382,0.0,2022-10-02 20:06:44,2022-12-31 20:06:44,2022-12-31 20:06:44
4,6,10000,0,74074644,0.027649,0.0,2021-02-14 07:33:43,2021-04-15 07:33:43,2021-04-15 07:33:43
5,12,0,0,288527832,0.025019,0.0,2021-12-01 10:58:50,2021-12-31 10:58:50,2021-12-31 10:58:50
6,3,0,0,328490741,0.017257,204468.84170571098,2021-07-21 01:01:22,2021-09-19 01:01:22,2021-11-13 01:01:22
7,1,20000,10000,124786832,0.012265,0.0,2023-08-24 11:07:43,2023-10-23 11:07:43,2023-10-23 11:07:43
8,1,0,0,700636580,0.018745,0.0,2023-09-27 15:07:16,2023-12-26 15:07:16,2023-12-26 15:07:16
9,7,0,0,813503083,0.027016,0.0,2023-08-16 04:37:44,2023-09-15 04:37:44,2023-09-15 04:37:44
10,12,0,0,225420158,0.026523,24020.561268999394,2020-12-11 11:21:36,2021-02-09 11:21:36,2021-02-12 11:21:36
11,9,10000,0,122172025,0.024015,568268.3138076611,2020-02-28 02:04:31,2020-03-29 02:04:31,2020-04-17 02:04:31
12,11,10000,0,761254453,0.029999,0.0,2022-09-24 14:43:11,2022-10-24 14:43:11,2022-10-24 14:43:11
13,11,10000,0,808619018,0.019512,0.0,2021-07-08 04:30:32,2021-08-07 04:30:32,2021-08-07 04:30:32
14,10,0,0,666074318,0.029545,0.0,2020-07-29 07:30:30,2020-10-27 07:30:30,2020-10-27 07:30:30
15,6,0,0,27293186,0.026899,0.0,2021-02-05 05:37:26,2021-04-06 05:37:26,2021-04-06 05:37:26
16,12,10000,0,272337464,0.028086,0.0,2023-07-17 21:21:45,2023-10-15 21:21:45,2023-10-15 21:21:45
17,1,10000,0,212596499,0.024941,0.0,2021-11-01 18:09:32,2021-12-01 18:09:32,2021-12-01 18:09:32
18,7,0,0,940255004,0.010017,0.0,2022-09-14 18:31:30,2022-10-14 18:31:30,2022-10-14 18:31:30
19,8,10000,0,499931551,0.011124,0.0,2020-01-27 15:13:53,2020-03-27 15:13:53,2020-03-27 15:13:53
20,9,0,0,976979448,0.023978,1287818.9308703127,2023-01-07 02:16:27,2023-03-08 02:16:27,2023-04-22 02:16:27
21,7,30000,0,91939819,0.026067,0.0,2023-06-15 22:09:01,2023-07-15 22:09:01,2023-07-15 22:09:01
22,3,20000,0,849748800,0.016489,0.0,2021-03-21 17:55:27,2021-05-20 17:55:27,2021-05-20 17:55:27
23,4,20000,0,728971044,0.011522,0.0,2022-11-16 02:51:58,2023-01-15 02:51:58,2023-01-15 02:51:58
24,5,10000,50000,805318167,0.009468,2654076.1135875527,2021-03-24 06:02:54,2021-04-23 06:02:54,2021-05-13 06:02:54
25,9,10000,0,992463364,0.010444,0.0,2021-04-22 18:26:08,2021-06-21 18:26:08,2021-06-21 18:26:08
26,6,10000,0,743167994,0.015777,0.0,2020-12-05 11:26:14,2021-02-03 11:26:14,2021-02-03 11:26:14
27,3,30000,0,266060989,0.025892,0.0,2021-04-16 15:43:58,2021-07-15 15:43:58,2021-07-15 15:43:58
28,3,10000,0,914789715,0.012305,0.0,2020-04-19 13:02:33,2020-06-18 13:02:33,2020-06-18 13:02:33
29,5,10000,0,750639108,0.016189,0.0,2023-02-11 23:20:39,2023-04-12 23:20:39,2023-04-12 23:20:39
30,1,30000,0,170853379,0.024006,0.0,2023-06-03 12:50:20,2023-08-02 12:50:20,2023-08-02 12:50:20
31,11,10000,0,401821680,0.026955,0.0,2022-01-07 22:18:49,2022-02-06 22:18:49,2022-02-06 22:18:49
32,7,10000,0,722206428,0.015354,0.0,2023-04-26 13:21:05,2023-07-25 13:21:05,2023-07-25 13:21:05
33,3,10000,0,826335907,0.01278,0.0,2022-06-18 20:28:29,2022-09-16 20:28:29,2022-09-16 20:28:29
34,3,30000,0,296727876,0.024421,1496661.9137905305,2021-01-01 02:04:37,2021-04-01 02:04:37,2021-04-22 02:04:37
35,5,30000,0,237609265,0.015821,0.0,2020-02-28 22:14:56,2020-03-29 22:14:56,2020-03-29 22:14:56
36,11,10000,0,138443366,0.016635,0.0,2021-12-05 14:30:12,2022-02-03 14:30:12,2022-02-03 14:30:12
37,2,0,0,544191551,0.012617,2098073.9865621156,2020-11-07 18:57:37,2021-01-06 18:57:37,2021-01-26 18:57:37
38,11,30000,0,630375276,0.012134,0.0,2022-12-25 20:20:11,2023-01-24 20:20:11,2023-01-24 20:20:11
39,7,10000,0,507682561,0.016267,0.0,2022-07-01 05:16:33,2022-08-30 05:16:33,2022-08-30 05:16:33
40,11,0,0,785831530,0.028111,0.0,2023-10-04 02:55:57,2023-12-03 02:55:57,2023-12-03 02:55:57
41,8,20000,0,474371214,0.018843,0.0,2021-07-20 07:59:54,2021-10-18 07:59:54,2021-10-18 07:59:54
42,3,0,0,178810588,0.02672,0.0,2021-03-01 12:07:13,2021-04-30 12:07:13,2021-04-30 12:07:13
43,5,0,0,752537447,0.024746,0.0,2023-05-16 04:10:53,2023-06-15 04:10:53,2023-06-15 04:10:53
44,11,10000,0,558449768,0.024919,0.0,2023-05-08 06:00:38,2023-06-07 06:00:38,2023-06-07 06:00:38
45,12,0,0,576242861,0.018179,3136918.8268368244,2023-07-20 21:39:20,2023-09-18 21:39:20,2023-11-06 21:39:20
46,5,30000,0,388314795,0.024802,0.0,2021-06-08 02:39:05,2021-07-08 02:39:05,2021-07-08 02:39:05
47,3,10000,0,165487678,0.013944,0.0,2020-01-16 18:37:00,2020-04-15 18:37:00,2020-04-15 18:37:00
48,9,0,0,605549965,0.014672,0.0,2022-11-29 03:54:13,2022-12-29 03:54:13,2022-12-29 03:54:13
49,5,10000,50000,318193621,0.026012,0.0,2023-10-29 05:45:30,2023-11-28 05:45:30,2023-11-28 05:45:30
50,6,0,0,632036391,0.021685,0.0,2022-10-05 20:53:39,2022-12-04 20:53:39,2022-12-04 20:53:39
51,8,10000,0,299567229,0.010376,0.0,2021-09-01 06:06:19,2021-10-31 06:06:19,2021-10-31 06:06:19
52,12,10000,0,972731620,0.024229,0.0,2021-08-23 22:22:37,2021-10-22 22:22:37,2021-10-22 22:22:37
53,9,0,0,747493445,0.018933,0.0,2021-04-10 22:24:19,2021-05-10 22:24:19,2021-05-10 22:24:19
54,2,20000,0,163702005,0.02985,0.0,2020-01-29 16:03:26,2020-03-29 16:03:26,2020-03-29 16:03:26
55,7,30000,0,194201936,0.015398,0.0,2022-12-26 22:26:42,2023-02-24 22:26:42,2023-02-24 22:26:42
56,10,0,0,351612367,0.021036,0.0,2022-06-24 09:56:46,2022-07-24 09:56:46,2022-07-24 09:56:46
57,11,10000,0,17490553,0.010938,139944.0747982051,2021-04-10 13:17:47,2021-07-09 13:17:47,2021-08-08 13:17:47
58,9,30000,0,867975579,0.024283,0.0,2023-03-12 23:48:52,2023-04-11 23:48:52,2023-04-11 23:48:52
